	RF	DN
0	C2	C2
1	C1	C1
2	C2	C2
3	C3	C3
4	CNA	CNA
5	C2	C2
6	C2	C4
7	C1	C1
8	C3	C3
9	C3	C3
10	C3	C3
11	CNA	CNA
12	CNA	C3
13	CNA	CNA
14	C2	C2
15	C3	C1
16	C3	C3
17	C1	C1
18	C1	C1
19	C2	C2
20	C2	C2
21	C1	C1
22	C2	C2
23	C1	C2
24	C2	C1
25	C3	C3
26	C3	C4
27	C4	C3
28	C3	C4
29	C2	C2
30	CNA	CNA
31	C2	C2
32	CNA	C3
33	C3	CNA
34	CNA	C2
35	C2	C2
36	C3	C2
37	C2	C2
38	C3	C3
39	C3	C3
40	C2	C2
41	C3	C3
42	C3	C3
43	C3	C3
44	C3	C3
45	CNA	CNA
46	C3	C4
47	C2	C2
48	C3	C3
49	C2	C2
50	C2	C2
51	CNA	CNA
52	C3	C4
53	C4	C2
54	C3	C3
55	CNA	CNA
56	CNA	CNA
57	C1	C1
58	C3	C3
59	C1	C1
60	C2	C2
61	C3	C3
62	C1	C1
63	C3	C5
64	C3	C4
65	C2	C2
66	C1	C2
67	C3	C4
68	C2	C2
69	C3	C2
70	C2	C2
71	C1	C2
72	CNA	CNA
73	C2	C2
74	CNA	C2
75	C3	C2
76	C3	C4
77	C3	C3
78	C1	C4
79	C1	C2
80	CNA	C3
81	C2	C2
82	C1	C4
83	C2	C2
84	CNA	CNA
85	C2	C2
86	C3	C4
87	C2	C2
88	C4	C4
89	C3	C4
90	C4	C5
91	C3	C3
92	C2	C2
93	C3	C3
94	CNA	C2
95	C3	C4
96	C3	C3
97	C3	C3
98	C3	C3
99	C3	C3
100	CNA	C2
101	C1	C2
102	CNA	CNA
103	C1	C1
104	C2	C2
105	C4	CNA
106	C4	C2
107	C3	C4
108	C3	C3
109	C2	C2
110	CNA	CNA
111	CNA	C1
112	CNA	CNA
113	C3	C2
114	C3	C3
115	C2	C2
116	CNA	CNA
117	C3	C3
118	C4	CNA
119	C2	C1
120	C2	C2
121	CNA	C3
122	C1	C1
123	C3	C3
124	CNA	C3
125	C3	C3
126	CNA	CNA
127	C2	C2
128	C2	C2
129	CNA	CNA
130	C3	C3
131	C1	C2
132	C3	C3
133	C3	C3
134	C3	C3
135	C4	C4
136	CNA	C2
137	CNA	CNA
138	C3	C3
139	C2	C2
140	C2	C2
141	C3	C3
142	C3	C3
143	C3	C3
144	C3	C4
145	C3	C3
146	C3	C3
147	C3	C3
148	C2	C2
149	C2	C2
150	C1	C1
151	C2	C2
152	C2	C2
153	C3	C3
154	C2	C2
155	C2	C2
156	CNA	CNA
157	CNA	CNA
158	CNA	C2
159	C2	C1
160	C3	C1
161	C3	C4
162	C3	C2
163	C2	C2
164	C4	C4
165	C3	C1
166	C2	C2
167	CNA	CNA
168	C2	C2
169	C2	C2
170	C2	C2
171	CNA	CNA
172	C2	C2
173	C3	C3
174	C2	C2
175	C2	C2
176	C2	C2
177	CNA	CNA
178	C2	C2
179	C3	C1
180	C1	C1
181	C2	C2
182	C2	C2
183	CNA	C2
184	CNA	CNA
185	C3	C3
186	C2	C2
187	C1	C2
188	C3	C3
189	CNA	CNA
190	C2	C2
191	C3	C3
192	CNA	C2
193	C3	C4
194	C1	C1
195	CNA	CNA
196	C3	C4
197	CNA	CNA
198	C2	C2
199	CNA	CNA
200	C3	C3
201	C1	C2
202	C2	C2
203	CNA	C2
204	CNA	C3
205	C3	C3
206	C1	C1
207	C2	C1
208	CNA	CNA
209	C4	C4
210	C3	C3
211	C1	CNA
212	CNA	CNA
213	C1	C2
214	C2	C2
215	C2	C2
216	C4	C5
217	C2	C2
218	C2	C2
219	C3	C3
220	C2	C2
221	C2	C2
222	C2	C2
223	C3	C3
224	C3	C2
225	C2	C2
226	C1	C1
227	CNA	CNA
228	C4	C4
229	C1	C1
230	C2	C2
231	CNA	CNA
232	C2	C2
233	C1	C1
234	C1	C2
235	C2	C2
236	C3	C2
237	C3	C3
238	C3	C3
239	C2	C2
240	C2	C2
241	C3	C3
242	CNA	CNA
243	C3	C4
244	C3	C4
245	C2	C2
246	C2	C2
247	C2	C2
248	C2	C2
249	C2	C2
250	C3	C3
251	CNA	CNA
252	C2	C2
253	C3	C3
254	C3	C3
255	C1	C2
256	C2	C2
257	C3	C3
258	CNA	C5
259	C2	C2
260	C2	C2
261	C3	C3
262	C2	C1
263	C3	C3
264	C1	C2
265	C4	C4
266	C2	C2
267	C4	C4
268	C2	C2
269	C2	C2
270	C3	CNA
271	C2	C2
272	C2	C2
273	CNA	C2
274	C1	C1
275	C3	C3
276	C2	C2
277	C1	C1
278	C3	C3
279	C3	C3
280	C2	C2
281	C2	C2
282	C3	C3
283	CNA	CNA
284	CNA	C3
285	C1	C1
286	C1	C1
287	C1	C2
288	C1	C1
289	C4	C4
290	CNA	CNA
291	C2	C2
292	C2	C2
293	C4	C4
294	C1	C4
295	C1	C2
296	C2	C2
297	CNA	CNA
298	C3	C3
299	CNA	C1
300	C3	C3
301	CNA	CNA
302	C4	C4
303	C1	C2
304	C3	C2
305	C1	C2
306	C1	C1
307	C2	C2
308	C3	C3
309	C2	C2
310	CNA	C1
311	C3	C3
312	C3	C4
313	CNA	C2
314	C4	C4
315	C2	C2
316	CNA	CNA
317	C2	CNA
318	C2	C2
319	C1	C2
320	C3	C3
321	C3	C3
322	C3	C3
323	C1	C1
324	C3	C2
325	C2	C2
326	C2	C2
327	C1	C2
328	C2	C2
329	C2	C2
330	C2	C2
331	C3	C3
332	C3	C3
333	C4	C4
334	C1	C2
335	C2	C2
336	C1	C1
337	CNA	C6
338	C2	C2
339	C2	C2
340	C3	C3
341	C2	C2
342	CNA	C3
343	C1	C2
344	C2	C2
345	C1	C2
346	C2	C2
347	C1	C1
348	C2	C2
349	CNA	CNA
350	CNA	C2
351	C3	C3
352	C3	C2
353	CNA	C3
354	C3	C3
355	CNA	CNA
356	C2	C2
357	C2	C2
358	C2	C2
359	C1	C1
360	C3	C3
361	CNA	CNA
362	CNA	C2
363	C2	C2
364	C3	C3
365	C1	C2
366	C2	C2
367	C4	CNA
368	CNA	C3
369	C3	C3
370	CNA	CNA
371	C2	C2
372	C4	C4
373	C4	C4
374	C2	C2
375	C2	C2
376	C1	C2
377	C3	C3
378	C3	C1
379	C2	C2
380	C3	C3
381	C3	C2
382	C3	C3
383	C2	C2
384	CNA	CNA
385	C1	C1
386	C2	C2
387	C2	C2
388	CNA	C2
389	C3	C5
390	C1	C2
391	C3	C3
392	C3	C4
393	C3	C3
394	C3	C4
395	C2	C2
396	C1	C2
397	C2	C2
398	C2	C2
399	C2	C2
400	C3	C3
401	CNA	CNA
402	C4	C4
403	C3	C3
404	C3	C2
405	C2	C2
406	C3	C3
407	C1	C2
408	C2	C2
409	C3	C3
410	C2	C2
411	C4	C5
412	C1	C1
413	C2	C2
414	C2	C2
415	CNA	C3
416	C4	C4
417	C4	C4
418	C2	C2
419	C1	C1
420	C3	C3
421	C4	C4
422	C2	CNA
423	CNA	CNA
424	C2	C2
425	C4	C3
426	C1	C2
427	C3	C4
428	C2	C2
429	CNA	CNA
430	C3	C2
431	C1	C1
432	C3	C3
433	C2	C2
434	C3	C4
435	C3	C3
436	C3	C3
437	CNA	CNA
438	C1	C2
439	C4	C4
440	C3	C2
441	C3	C2
442	C1	C2
443	C3	C4
444	C4	C3
445	C3	C3
446	C4	C4
447	CNA	CNA
448	C2	C2
449	C1	C2
450	C1	C2
451	C3	C3
452	CNA	CNA
453	CNA	CNA
454	C3	C3
455	C1	C1
456	C1	C2
457	C2	C2
458	C3	C6
459	C4	C4
460	C3	C3
461	CNA	C3
462	C2	C2
463	C3	C3
464	C3	C3
465	C2	C2
466	C3	C4
467	C3	C3
468	C2	C2
469	C3	C2
470	C1	C2
471	C1	C2
472	C2	C2
473	C2	C2
474	C3	C3
475	C2	C2
476	C1	C2
477	C2	C2
478	C3	C3
479	CNA	CNA
480	C3	C3
481	C3	C3
482	C1	C2
483	C1	C2
484	C2	C2
485	CNA	CNA
486	C2	C2
487	C3	C3
488	CNA	CNA
489	C2	C2
490	C2	C2
