APOBEC	SBS40	Ageing	HR	ROS	SBS5	SBS39	SBS19	SBS23	MMR	PolE	SBS28	SBS17	Tobacco	SBS12	SBS29	PolH	SBS34	SBS37	Technical	SBS30	SBS38	UV
	Biliary_AdenoCA, Panc_AdenoCA, Skin_Melanoma	Panc_Endocrine, Skin_Melanoma	Breast_AdenoCA, Eso_AdenoCA, Panc_AdenoCA		Breast_AdenoCA, Head_SCC																Skin_Melanoma	
Biliary_AdenoCA, Panc_AdenoCA, Skin_Melanoma		Bone_Osteosarc, CNS_GBM, CNS_Medullo, CNS_PiloAstro, Kidney_ChRCC, Kidney_RCC, Liver_HCC, Lung_AdenoCA, Lymph_BNHL, Panc_AdenoCA, Prost_AdenoCA, Skin_Melanoma, Thy_AdenoCA	Ovary_AdenoCA		CNS_Medullo, Prost_AdenoCA				Lymph_BNHL			Eso_AdenoCA, Liver_HCC									Skin_Melanoma	
Panc_Endocrine, Skin_Melanoma	Bone_Osteosarc, CNS_GBM, CNS_Medullo, CNS_PiloAstro, Kidney_ChRCC, Kidney_RCC, Liver_HCC, Lung_AdenoCA, Lymph_BNHL, Panc_AdenoCA, Prost_AdenoCA, Skin_Melanoma, Thy_AdenoCA		Panc_Endocrine	Prost_AdenoCA	Breast_AdenoCA, CNS_Medullo, ColoRect_AdenoCA, Lymph_BNHL, Lymph_CLL, Myeloid_MPN, Ovary_AdenoCA, Panc_Endocrine, Prost_AdenoCA, Skin_Melanoma, Stomach_AdenoCA, Thy_AdenoCA, Uterus_AdenoCA				ColoRect_AdenoCA, Stomach_AdenoCA			Lymph_BNHL									Skin_Melanoma	
Breast_AdenoCA, Eso_AdenoCA, Panc_AdenoCA	Ovary_AdenoCA	Panc_Endocrine															Lymph_BNHL	Lymph_BNHL		Panc_Endocrine		
		Prost_AdenoCA			Breast_AdenoCA, Panc_AdenoCA, Prost_AdenoCA, Stomach_AdenoCA																	
Breast_AdenoCA, Head_SCC	CNS_Medullo, Prost_AdenoCA	Breast_AdenoCA, CNS_Medullo, ColoRect_AdenoCA, Lymph_BNHL, Lymph_CLL, Myeloid_MPN, Ovary_AdenoCA, Panc_Endocrine, Prost_AdenoCA, Skin_Melanoma, Stomach_AdenoCA, Thy_AdenoCA, Uterus_AdenoCA		Breast_AdenoCA, Panc_AdenoCA, Prost_AdenoCA, Stomach_AdenoCA					ColoRect_AdenoCA, Stomach_AdenoCA, Uterus_AdenoCA	ColoRect_AdenoCA	ColoRect_AdenoCA	Eso_AdenoCA, Lymph_BNHL, Panc_AdenoCA, Stomach_AdenoCA	Head_SCC, Liver_HCC, Lung_AdenoCA, Lung_SCC	Liver_HCC	Liver_HCC		Lymph_BNHL	Lymph_BNHL, Prost_AdenoCA				Skin_Melanoma
																Panc_Endocrine						
								CNS_PiloAstro														
							CNS_PiloAstro															
	Lymph_BNHL	ColoRect_AdenoCA, Stomach_AdenoCA			ColoRect_AdenoCA, Stomach_AdenoCA, Uterus_AdenoCA												Lymph_BNHL	Lymph_BNHL	Lymph_BNHL			
					ColoRect_AdenoCA						ColoRect_AdenoCA											
					ColoRect_AdenoCA					ColoRect_AdenoCA		Panc_AdenoCA										
	Eso_AdenoCA, Liver_HCC	Lymph_BNHL			Eso_AdenoCA, Lymph_BNHL, Panc_AdenoCA, Stomach_AdenoCA						Panc_AdenoCA											
					Head_SCC, Liver_HCC, Lung_AdenoCA, Lung_SCC									Liver_HCC								
					Liver_HCC								Liver_HCC		Liver_HCC							
					Liver_HCC									Liver_HCC								
						Panc_Endocrine																
			Lymph_BNHL		Lymph_BNHL				Lymph_BNHL									Lymph_BNHL	Lymph_BNHL			
			Lymph_BNHL		Lymph_BNHL, Prost_AdenoCA				Lymph_BNHL								Lymph_BNHL		Lymph_BNHL			
									Lymph_BNHL								Lymph_BNHL	Lymph_BNHL				
			Panc_Endocrine																			
Skin_Melanoma	Skin_Melanoma	Skin_Melanoma																				
					Skin_Melanoma																	
