	Cell Cycle	HIPPO	MYC	NRF2	PI3K	RTK RAS	TP53	TGF-Beta	WNT	NOTCH
APOBEC	Head_SCC, Lung_AdenoCa, Transitional_cell_carcinoma		Lung_AdenoCa				Stomach_AdenoCa, Uterus_AdenoCa			
CL SBS5		ColoRect_AdenoCa			ColoRect_AdenoCa	Breast_cancer, ColoRect_AdenoCa, Uterus_AdenoCa		ColoRect_AdenoCa		Uterus_AdenoCa
HR	Breast_cancer	Breast_cancer	Breast_cancer		Eso_AdenoCa		Breast_cancer			
MMR	ColoRect_AdenoCa	Breast_cancer, ColoRect_AdenoCa, Stomach_AdenoCa, Uterus_AdenoCa	ColoRect_AdenoCa		ColoRect_AdenoCa, Stomach_AdenoCa	ColoRect_AdenoCa		Breast_cancer, Cervix_CA, ColoRect_AdenoCa, Stomach_AdenoCa	Breast_cancer, Stomach_AdenoCa, Uterus_AdenoCa	Cervix_CA, ColoRect_AdenoCa, Stomach_AdenoCa, Uterus_AdenoCa
PolE		ColoRect_AdenoCa, Uterus_AdenoCa	Uterus_AdenoCa	Breast_cancer, Uterus_AdenoCa		Uterus_AdenoCa	Uterus_AdenoCa	Uterus_AdenoCa	Uterus_AdenoCa	Uterus_AdenoCa
SBS29									Breast_cancer	
SBS17							Stomach_AdenoCa	ColoRect_AdenoCa		
SBS40							ColoRect_AdenoCa			
Tobacco							Head_SCC	Lung_AdenoCa		
SBS30								Liver_HCC		
CL SBS1				Lung_AdenoCa		Lung_AdenoCa				
SBS38		Skin_Melanoma								
UV						Skin_Melanoma				
SBS28		Uterus_AdenoCa	Uterus_AdenoCa					Uterus_AdenoCa		Uterus_AdenoCa
